policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
greedy,56.00,409.200000,25.292950,14.900000,5.237684,424.100000,25.722666
greedy,56.25,410.500000,24.332192,14.000000,3.527668,424.500000,23.787251
greedy,56.50,407.100000,21.100026,14.700000,3.368151,421.800000,21.332292
greedy,56.75,409.500000,25.949738,13.500000,3.472111,423.000000,24.585452
greedy,57.00,423.600000,25.717266,14.600000,2.412928,438.200000,26.922935
greedy,57.25,406.100000,27.127067,15.200000,3.705851,421.300000,27.904798
greedy,57.50,415.500000,25.131874,12.800000,3.425395,428.300000,27.072126
greedy,57.75,409.700000,21.633564,13.800000,3.994441,423.500000,23.358320
greedy,58.00,413.500000,20.554805,15.600000,4.168666,429.100000,19.433362
greedy,58.25,410.500000,19.636983,14.300000,3.020302,424.800000,19.240005
greedy,58.50,413.000000,17.882331,13.700000,1.888562,426.700000,17.913682
greedy,58.75,411.700000,22.803752,15.000000,2.449490,426.700000,22.025490
greedy,59.00,409.800000,21.714307,13.900000,3.573047,423.700000,20.666935
greedy,59.25,410.300000,20.094499,14.800000,4.516636,425.100000,22.447222
greedy,59.50,414.100000,28.753551,15.100000,2.424413,429.200000,29.634064
greedy,59.75,422.300000,17.029713,14.400000,3.565265,436.700000,18.631216
greedy,60.00,415.700000,16.159277,14.000000,2.624669,429.700000,17.282297
greedy,60.25,408.100000,18.064391,12.500000,2.877113,420.600000,15.875908
greedy,60.50,407.800000,25.138726,14.700000,3.368151,422.500000,25.885431
greedy,60.75,413.600000,23.157432,15.900000,3.142893,429.500000,24.721785
greedy,61.00,415.700000,26.766687,13.600000,3.204164,429.300000,26.149357
greedy,61.25,412.800000,28.985820,15.700000,3.497618,428.500000,28.020826
greedy,61.50,406.300000,31.290929,14.200000,4.077036,420.500000,31.024184
greedy,61.75,399.700000,37.181387,16.900000,3.142893,416.600000,39.356490
greedy,62.00,400.700000,25.011331,14.800000,3.794733,415.500000,24.550402
greedy,62.25,403.400000,23.505082,14.200000,3.155243,417.600000,22.086698
greedy,62.50,406.200000,21.342706,16.100000,2.183270,422.300000,22.558812
greedy,62.75,419.900000,25.176929,16.600000,2.011080,436.500000,24.523232
greedy,63.00,418.200000,11.839670,12.100000,3.142893,430.300000,12.579083
greedy,63.25,411.900000,18.988008,16.600000,2.319004,428.500000,18.179659
greedy,63.50,418.000000,31.517191,14.500000,3.064129,432.500000,32.793123
greedy,63.75,410.400000,29.522872,14.400000,2.503331,424.800000,28.650383
greedy,64.00,408.300000,24.895560,14.500000,2.223611,422.800000,25.222565
greedy,64.25,402.300000,29.412960,14.900000,4.094712,417.200000,29.192084
greedy,64.50,411.600000,19.397594,16.700000,2.983287,428.300000,18.856475
greedy,64.75,412.200000,20.291213,14.600000,3.405877,426.800000,19.332184
greedy,65.00,409.800000,13.846781,16.300000,3.020302,426.100000,14.654920
greedy,65.25,414.900000,19.381836,15.900000,2.846050,430.800000,20.164876
greedy,65.50,404.200000,16.301329,14.900000,3.107339,419.100000,16.795833
greedy,65.75,412.700000,19.108172,14.500000,2.990726,427.200000,18.140195
greedy,66.00,411.600000,15.196491,14.800000,3.552777,426.400000,15.443085
greedy,66.25,417.700000,16.316658,14.200000,2.973961,431.900000,17.419338
greedy,66.50,413.300000,22.910696,13.500000,4.428443,426.800000,22.309938
greedy,66.75,410.200000,12.345039,15.300000,4.056545,425.500000,12.642521
greedy,67.00,410.700000,17.663836,15.600000,2.590581,426.300000,17.204973
greedy,67.25,406.400000,21.685633,14.200000,2.820559,420.600000,21.757247
greedy,67.50,407.700000,20.022487,13.200000,3.084009,420.900000,20.717411
greedy,67.75,410.300000,21.669487,14.000000,3.091206,424.300000,21.034628
greedy,68.00,411.500000,25.833871,12.900000,2.424413,424.400000,26.575678
greedy,68.25,414.400000,20.844397,14.900000,2.685351,429.300000,19.402463
greedy,68.50,402.900000,18.345148,14.300000,2.983287,417.200000,17.047646
greedy,68.75,402.200000,24.211109,15.400000,3.657564,417.600000,23.281848
greedy,69.00,403.400000,15.945741,15.300000,3.860052,418.700000,14.040022
greedy,69.25,407.600000,23.561739,16.100000,2.514403,423.700000,21.995201
greedy,69.50,404.500000,17.076625,14.600000,4.195235,419.100000,16.427957
greedy,69.75,413.600000,12.139925,14.700000,2.710064,428.300000,13.089860
greedy,70.00,410.100000,16.271652,15.400000,2.412928,425.500000,17.128599
greedy,70.25,413.000000,22.499383,14.000000,3.197221,427.000000,22.005050
greedy,70.50,410.600000,23.646470,15.100000,3.446415,425.700000,25.875986
greedy,70.75,413.500000,17.958285,15.500000,3.374743,429.000000,20.303256
greedy,71.00,422.500000,20.748494,15.100000,3.178050,437.600000,21.741921
greedy,71.25,412.500000,21.230220,15.100000,2.923088,427.600000,22.331841
greedy,71.50,414.800000,18.329090,13.800000,3.119829,428.600000,19.248088
greedy,71.75,410.900000,21.475826,12.600000,2.412928,423.500000,23.205603
